date,open,high,low,close,volume,Name
2014-10-06,77.19,77.89,76.85,77.555,25729191,FB
2014-10-07,77.05,77.95,76.24,76.29,25317488,FB
2014-10-08,76.18,77.71,75.1,77.52,32975514,FB
2014-10-09,77.28,77.7601,75.85,75.91,32487174,FB
2014-10-10,75.59,76.5,72.76,72.91,52146162,FB
2014-10-13,73.23,74.78,72.52,72.99,43937638,FB
2014-10-14,74.0,74.18,72.05,73.59,50299288,FB
2014-10-15,71.69,73.8,70.32,73.21,61528317,FB
2014-10-16,70.79,73.35,70.58,72.63,53529459,FB
2014-10-17,74.23,76.0,73.75,75.95,76341638,FB
2014-10-20,75.6,77.09,75.38,76.95,34701260,FB
2014-10-21,77.56,78.74,77.15,78.69,32252403,FB
2014-10-22,78.815,79.85,78.01,78.37,41862393,FB
2014-10-23,79.38,80.63,79.01,80.04,35055800,FB
2014-10-24,80.2,80.8183,79.32,80.67,32247520,FB
2014-10-27,80.74,80.8,79.76,80.28,30168921,FB
2014-10-28,80.18,81.16,79.57,80.77,74211768,FB
2014-10-29,75.45,76.88,74.78,75.86,106119520,FB
2014-10-30,75.05,75.35,72.9,74.11,83269554,FB
2014-10-31,74.93,75.7,74.45,74.99,44544325,FB
2014-11-03,75.47,75.52,73.7,73.88,40727330,FB
2014-11-04,74.23,75.77,73.65,75.76,39326471,FB
2014-11-05,76.51,76.8,74.42,74.83,35912588,FB
2014-11-06,74.89,75.6,74.31,75.26,21383194,FB
2014-11-07,75.39,75.855,75.02,75.6,20774381,FB
2014-11-10,75.36,75.4799,74.61,75.0,21575126,FB
2014-11-11,74.95,74.98,74.03,74.61,18735123,FB
2014-11-12,74.28,75.14,73.54,74.72,26536609,FB
2014-11-13,74.74,75.24,73.64,74.25,26448451,FB
2014-11-14,74.27,74.93,74.04,74.88,19476878,FB
2014-11-17,74.88,75.655,73.88,74.24,28701191,FB
2014-11-18,74.45,74.8,73.9,74.34,20696643,FB
2014-11-19,74.01,74.54,73.11,73.33,25441163,FB
2014-11-20,72.8,73.99,72.51,73.6,19154862,FB
2014-11-21,74.5,74.5,73.5,73.75,23060382,FB
2014-11-24,73.54,74.35,73.35,74.01,22103831,FB
2014-11-25,74.21,75.74,74.13,75.63,32250205,FB
2014-11-26,75.53,77.78,75.51,77.62,32721585,FB
2014-11-28,77.67,78.27,77.23,77.7,15992035,FB
2014-12-01,77.26,77.31,74.8,75.1,31789866,FB
2014-12-02,75.33,75.91,75.04,75.46,16773884,FB
2014-12-03,75.38,75.73,74.4,74.88,16689857,FB
2014-12-04,74.83,75.55,74.66,75.24,14390520,FB
2014-12-05,75.8,76.76,75.36,76.36,24306446,FB
2014-12-08,76.18,77.25,75.4,76.52,25733853,FB
2014-12-09,75.2,76.93,74.78,76.84,25358584,FB
2014-12-10,76.65,77.55,76.07,76.18,32210532,FB
2014-12-11,76.52,78.52,76.48,77.73,33492661,FB
2014-12-12,77.16,78.88,77.02,77.83,28091617,FB
2014-12-15,78.46,78.58,76.56,76.99,29396532,FB
2014-12-16,76.19,77.39,74.59,74.69,31554593,FB
2014-12-17,75.01,76.41,74.9,76.11,29203904,FB
2014-12-18,76.89,78.4,76.51,78.4,34222081,FB
2014-12-19,78.75,80.0,78.33,79.88,43334992,FB
2014-12-22,80.08,81.89,80.0,81.45,31395770,FB
2014-12-23,82.02,82.17,80.4,80.61,19865820,FB
2014-12-24,81.03,81.43,80.75,80.77,7685481,FB
2014-12-26,81.02,81.28,80.51,80.775,10647388,FB
2014-12-29,80.49,80.96,79.71,80.02,14134666,FB
2014-12-30,79.85,80.59,79.1,79.22,14370763,FB
2014-12-31,79.54,79.8,77.86,78.02,20040439,FB
2015-01-02,78.58,78.93,77.7,78.45,18177475,FB
